time_period,period2,la_name,new_la_code,headcount
201516,2015-16,Derbyshire,E10000007,8674
201516,2015-16,Derby,E06000015,3280
201516,2015-16,Leicestershire,E10000018,7834
201516,2015-16,Leicester,E06000016,4595
201516,2015-16,Rutland,E06000017,406
201516,2015-16,Nottinghamshire,E10000024,9649
201516,2015-16,Nottingham,E06000018,3718
201516,2015-16,Lincolnshire,E10000019,8030
201516,2015-16,Northamptonshire,E10000021,9242
201516,2015-16,Luton,E06000032,3341
201516,2015-16,Bedford,E06000055,2225
201516,2015-16,Central Bedfordshire,E06000056,3646
201516,2015-16,Cambridgeshire,E10000003,7532
201516,2015-16,Peterborough,E06000031,2978
201516,2015-16,Essex,E10000012,16759
201516,2015-16,Southend-on-Sea,E06000033,2190
201516,2015-16,Thurrock,E06000034,2458
201516,2015-16,Hertfordshire,E10000015,14884
201516,2015-16,Norfolk,E10000020,9387
201516,2015-16,Suffolk,E10000029,8157
201516,2015-16,City of London,E09000001,30
201516,2015-16,Camden,E09000007,1714
201516,2015-16,Greenwich,E09000011,3684
201516,2015-16,Hackney,E09000012,2805
201516,2015-16,Hammersmith and Fulham,E09000013,1436
201516,2015-16,Islington,E09000019,2066
201516,2015-16,Kensington and Chelsea,E09000020,974
201516,2015-16,Lambeth,E09000022,3051
201516,2015-16,Lewisham,E09000023,3554
201516,2015-16,Southwark,E09000028,3520
201516,2015-16,Tower Hamlets,E09000030,3376
201516,2015-16,Wandsworth,E09000032,2911
201516,2015-16,Westminster,E09000033,1491
201516,2015-16,Barking and Dagenham,E09000002,3499
201516,2015-16,Barnet,E09000003,4271
201516,2015-16,Bexley,E09000004,3181
201516,2015-16,Brent,E09000005,3804
201516,2015-16,Bromley,E09000006,4077
201516,2015-16,Croydon,E09000008,4819
201516,2015-16,Ealing,E09000009,4540
201516,2015-16,Enfield,E09000010,4476
201516,2015-16,Haringey,E09000014,3166
201516,2015-16,Harrow,E09000015,3052
201516,2015-16,Havering,E09000016,3188
201516,2015-16,Hillingdon,E09000017,4166
201516,2015-16,Hounslow,E09000018,3342
201516,2015-16,Kingston upon Thames,E09000021,1998
201516,2015-16,Merton,E09000024,2628
201516,2015-16,Newham,E09000025,4810
201516,2015-16,Redbridge,E09000026,3919
201516,2015-16,Richmond upon Thames,E09000027,2543
201516,2015-16,Sutton,E09000029,2544
201516,2015-16,Waltham Forest,E09000031,3591
201516,2015-16,Gateshead,E08000037,2246
201516,2015-16,Newcastle upon Tyne,E08000021,3231
201516,2015-16,North Tyneside,E08000022,2298
201516,2015-16,South Tyneside,E08000023,1639
201516,2015-16,Sunderland,E08000024,3098
201516,2015-16,Hartlepool,E06000001,1207
201516,2015-16,Middlesbrough,E06000002,2025
201516,2015-16,Redcar and Cleveland,E06000003,1655
201516,2015-16,Stockton-on-Tees,E06000004,2517
201516,2015-16,County Durham,E06000047,5713
201516,2015-16,Darlington,E06000005,1239
201516,2015-16,Northumberland,E06000057,3050
201516,2015-16,Knowsley,E08000011,1877
201516,2015-16,Liverpool,E08000012,5280
201516,2015-16,St. Helens,E08000013,2100
201516,2015-16,Sefton,E08000014,3070
201516,2015-16,Wirral,E08000015,3722
201516,2015-16,Bolton,E08000001,3796
201516,2015-16,Bury,E08000002,2422
201516,2015-16,Manchester,E08000003,6988
201516,2015-16,Oldham,E08000004,3449
201516,2015-16,Rochdale,E08000005,2941
201516,2015-16,Salford,E08000006,3254
201516,2015-16,Stockport,E08000007,3533
201516,2015-16,Tameside,E08000008,3002
201516,2015-16,Trafford,E08000009,3045
201516,2015-16,Wigan,E08000010,3897
201516,2015-16,Halton,E06000006,1451
201516,2015-16,Warrington,E06000007,2592
201516,2015-16,Lancashire,E10000017,14105
201516,2015-16,Blackburn with Darwen,E06000008,2169
201516,2015-16,Blackpool,E06000009,1571
201516,2015-16,Cheshire East,E06000049,4216
201516,2015-16,Cheshire West and Chester,E06000050,3873
201516,2015-16,Cumbria,E10000006,5114
201516,2015-16,Buckinghamshire,E06000060,6375
201516,2015-16,Milton Keynes,E06000042,3960
201516,2015-16,East Sussex,E10000011,5521
201516,2015-16,Brighton and Hove,E06000043,2762
