time_period,period2,time_identifier,la_name,new_la_code,headcount
201516,2015-16,Academic year,City of London,E09000001,250
201516,2015-16,Academic year,Camden,E09000007,12125
201516,2015-16,Academic year,Greenwich,E09000011,26587
201516,2015-16,Academic year,Hackney,E09000012,20801
201516,2015-16,Academic year,Hammersmith and Fulham,E09000013,10650
201516,2015-16,Academic year,Islington,E09000019,15266
201516,2015-16,Academic year,Kensington and Chelsea,E09000020,7322
201516,2015-16,Academic year,Lambeth,E09000022,22816
201516,2015-16,Academic year,Lewisham,E09000023,25735
201516,2015-16,Academic year,Southwark,E09000028,25342
201516,2015-16,Academic year,Tower Hamlets,E09000030,25953
201516,2015-16,Academic year,Wandsworth,E09000032,20479
201516,2015-16,Academic year,Westminster,E09000033,11202
201516,2015-16,Academic year,Barking and Dagenham,E09000002,26973
201516,2015-16,Academic year,Barnet,E09000003,31359
201516,2015-16,Academic year,Bexley,E09000004,22724
201516,2015-16,Academic year,Brent,E09000005,27867
201516,2015-16,Academic year,Bromley,E09000006,26861
201516,2015-16,Academic year,Croydon,E09000008,33932
201516,2015-16,Academic year,Ealing,E09000009,33493
201516,2015-16,Academic year,Enfield,E09000010,34024
201516,2015-16,Academic year,Haringey,E09000014,23746
201516,2015-16,Academic year,Harrow,E09000015,21259
201516,2015-16,Academic year,Havering,E09000016,22008
201516,2015-16,Academic year,Hillingdon,E09000017,30329
201516,2015-16,Academic year,Hounslow,E09000018,24334
201516,2015-16,Academic year,Kingston upon Thames,E09000021,14437
201516,2015-16,Academic year,Merton,E09000024,19626
201516,2015-16,Academic year,Newham,E09000025,36426
201516,2015-16,Academic year,Redbridge,E09000026,30039
201516,2015-16,Academic year,Richmond upon Thames,E09000027,17142
201516,2015-16,Academic year,Sutton,E09000029,17906
201516,2015-16,Academic year,Waltham Forest,E09000031,25893
201617,2016-17,Academic year,City of London,E09000001,276
201617,2016-17,Academic year,Camden,E09000007,12109
201617,2016-17,Academic year,Greenwich,E09000011,26570
201617,2016-17,Academic year,Hackney,E09000012,20758
201617,2016-17,Academic year,Hammersmith and Fulham,E09000013,10660
201617,2016-17,Academic year,Islington,E09000019,15566
201617,2016-17,Academic year,Kensington and Chelsea,E09000020,7348
201617,2016-17,Academic year,Lambeth,E09000022,22253
201617,2016-17,Academic year,Lewisham,E09000023,25608
201617,2016-17,Academic year,Southwark,E09000028,25263
201617,2016-17,Academic year,Tower Hamlets,E09000030,26073
201617,2016-17,Academic year,Wandsworth,E09000032,20792
201617,2016-17,Academic year,Westminster,E09000033,10958
201617,2016-17,Academic year,Barking and Dagenham,E09000002,27058
201617,2016-17,Academic year,Barnet,E09000003,31613
201617,2016-17,Academic year,Bexley,E09000004,22950
201617,2016-17,Academic year,Brent,E09000005,27877
201617,2016-17,Academic year,Bromley,E09000006,27295
201617,2016-17,Academic year,Croydon,E09000008,34149
201617,2016-17,Academic year,Ealing,E09000009,33685
201617,2016-17,Academic year,Enfield,E09000010,34191
201617,2016-17,Academic year,Haringey,E09000014,23735
201617,2016-17,Academic year,Harrow,E09000015,21614
201617,2016-17,Academic year,Havering,E09000016,22471
201617,2016-17,Academic year,Hillingdon,E09000017,30776
201617,2016-17,Academic year,Hounslow,E09000018,25047
201617,2016-17,Academic year,Kingston upon Thames,E09000021,14566
201617,2016-17,Academic year,Merton,E09000024,19578
201617,2016-17,Academic year,Newham,E09000025,36548
201617,2016-17,Academic year,Redbridge,E09000026,30137
201617,2016-17,Academic year,Richmond upon Thames,E09000027,17594
201617,2016-17,Academic year,Sutton,E09000029,18403
201617,2016-17,Academic year,Waltham Forest,E09000031,26063
201718,2017-18,Academic year,City of London,E09000001,284
201718,2017-18,Academic year,Camden,E09000007,11942
201718,2017-18,Academic year,Greenwich,E09000011,26668
201718,2017-18,Academic year,Hackney,E09000012,20584
201718,2017-18,Academic year,Hammersmith and Fulham,E09000013,10531
201718,2017-18,Academic year,Islington,E09000019,15403
201718,2017-18,Academic year,Kensington and Chelsea,E09000020,7385
201718,2017-18,Academic year,Lambeth,E09000022,22084
201718,2017-18,Academic year,Lewisham,E09000023,25346
201718,2017-18,Academic year,Southwark,E09000028,25220
201718,2017-18,Academic year,Tower Hamlets,E09000030,25986
201718,2017-18,Academic year,Wandsworth,E09000032,20832
201718,2017-18,Academic year,Westminster,E09000033,10599
201718,2017-18,Academic year,Barking and Dagenham,E09000002,26793
201718,2017-18,Academic year,Barnet,E09000003,31755
201718,2017-18,Academic year,Bexley,E09000004,22934
201718,2017-18,Academic year,Brent,E09000005,27640
201718,2017-18,Academic year,Bromley,E09000006,27755
201718,2017-18,Academic year,Croydon,E09000008,34010
201718,2017-18,Academic year,Ealing,E09000009,33384
201718,2017-18,Academic year,Enfield,E09000010,33813
201718,2017-18,Academic year,Haringey,E09000014,23685
