time_period,Group,Headcount,Percent
201516,Asian,120220,20.90702617
201617,Asian,122843,21.05397563
201718,Asian,163084,21.78761471
201819,Asian,164402,22.09431092
201920,Asian,165292,22.45415558
202021,Asian,163604,22.78784975
202122,Asian,165913,23.4132388
202223,Asian,167261,23.84139849
201516,Black,117522,20.43782673
201617,Black,115173,19.73941971
201718,Black,138896,18.55615838
201819,Black,133430,17.9319224
201920,Black,127123,17.26907303
202021,Black,119633,16.66327736
202122,Black,115183,16.25434465
202223,Black,111028,15.82594144
201516,Mixed,59102,10.27821544
201617,Mixed,61566,10.55175357
201718,Mixed,81494,10.88739467
201819,Mixed,82619,11.10333131
201920,Mixed,83810,11.38520182
202021,Mixed,83864,11.68113391
202122,Mixed,84763,11.96154829
202223,Mixed,85546,12.19373479
201516,White,240573,41.83718188
201617,White,245587,42.09098372
201718,White,313917,41.93852645
201819,White,311186,41.82090387
201920,White,306500,41.63661088
202021,White,296602,41.31269292
202122,White,286617,40.44669355
202223,White,281277,40.09324973
201516,Other,37605,6.539749391
201617,Other,38298,6.563867643
201718,Other,51126,6.830305796
201819,Other,52455,7.049531752
201920,Other,53406,7.254959064
202021,Other,54241,7.555045624
202122,Other,56153,7.924175052
202223,Other,56445,8.045675423
201516,Total,575022,99.99999961
201617,Total,583467,100.0000003
201718,Total,748517,100
201819,Total,744092,100.0000002
201920,Total,736131,100.0000004
202021,Total,717944,99.99999955
202122,Total,708629,100.0000003
202223,Total,701557,99.99999988
