time_period,Group,Headcount,Percent
201516,Asian,105832,21.6740052
201617,Asian,109843,22.00094138
201718,Asian,115046,22.39399225
201819,Asian,120391,22.75908352
201920,Asian,125312,23.06853996
202021,Asian,129109,23.12430372
202122,Asian,133364,23.39239139
202223,Asian,137474,23.77143292
201516,Black,104040,21.30701018
201617,Black,105565,21.1440818
201718,Black,108033,21.02889422
201819,Black,109543,20.70834437
201920,Black,110571,20.35488645
202021,Black,111857,20.03435269
202122,Black,112401,19.71542684
202223,Black,110916,19.1791339
201516,Mixed,43478,8.904134837
201617,Mixed,46812,9.376182989
201718,Mixed,49209,9.578655185
201819,Mixed,52129,9.854625884
201920,Mixed,54483,10.02971194
202021,Mixed,57672,10.3294491
202122,Mixed,61443,10.77726151
202223,Mixed,64059,11.07681613
201516,White,196564,40.25558582
201617,White,196344,39.32661011
201718,White,198007,38.54255883
201819,White,200242,37.85436122
201920,White,203417,37.44679832
202021,White,207486,37.16215974
202122,White,208762,36.61739608
202223,White,210886,36.46553095
201516,Other,38376,7.859264086
201617,Other,40701,8.152183976
201718,Other,43441,8.45589955
201819,Other,46675,8.823585126
201920,Other,49433,9.100063151
202021,Other,52202,9.349735153
202122,Other,54147,9.497524483
202223,Other,54981,9.507086025
201516,Total,488290,100.0000001
201617,Total,499265,100.0000003
201718,Total,513736,100
201819,Total,528980,100.0000001
201920,Total,543216,99.99999982
202021,Total,558326,100.0000004
202122,Total,570117,100.0000003
202223,Total,578316,99.99999993
