gss_code,gss_name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
E92000001,England,648411,670324,663867,673183,684259,693120,673973,659667,655853,660520,639653,624927.493,615209.539,601916.778,579125.352
N92000002,Northern Ireland,24364,25637,25680,25349,25709,25974,25213,24913,24960,25133,23832,23302.222,23049.489,22486.129,21945.174
S92000003,Scotland,56926,59334,59607,58286,61341,59741,58510,57551,57404,56715,54843,53681.421,52161.49,50003.732,48052.27
W92000004,Wales,34922,36244,35563,35939,36581,35936,34924,34201,34087,34354,32886,32286.863,31092.399,30136.245,28735.142
E12000001,North East,29246,30281,29725,30479,30914,30715,30007,29394,28851,29315,28591,27589.806,27152.459,25879.689,25335.041
E12000002,North West,84927,87644,86340,87530,89430,90517,88560,87205,86954,87539,85195,82611.972,82324.157,80344.484,77545.267
E12000003,Yorkshire and The Humber,64286,65942,66061,66602,66539,67667,65690,64159,63956,64109,62464,60405.828,59532.713,58558.263,55577.038
E12000004,East Midlands,53238,55356,54579,55378,56854,57528,55963,54900,54958,55307,53302,52305.923,51321.806,50354.88,48529.813
E12000005,West Midlands,69635,72218,71651,71641,73574,74782,73958,72432,70987,71734,70150,68519.387,67393.854,66132.629,63861.912
E12000006,East of England,70763,73997,73712,74959,76338,77290,75515,74450,74115,75226,72892,72070.601,70715.708,69806.678,66827.365
E12000007,London,111765,115162,113764,114800,115844,118507,114031,110572,109876,110248,105377,102254.483,99950.663,97641.937,92816.703
E12000008,South East,105898,109295,108278,110670,112309,112652,108801,106254,106591,106907,104221,102274.766,100871.365,98865.812,95684.479
E12000009,South West,58653,60429,59757,61124,62457,63462,61448,60301,59565,60135,57461,56894.727,55946.816,54332.407,52947.735
E06000001,Hartlepool,1146,1169,1152,1151,1194,1146,1117,1104,1031,1091,1065,999.797,1025.938,1000.422,925.257
E06000002,Middlesbrough,1831,1870,1831,1901,2050,1995,2032,1936,1944,1835,1935,1846.921,1768.637,1707.999,1628.73
E06000003,Redcar and Cleveland,1499,1508,1431,1561,1661,1669,1617,1519,1487,1455,1515,1391.525,1380.003,1350.113,1223.162
E06000004,Stockton-on-Tees,2403,2504,2455,2550,2589,2543,2514,2364,2357,2360,2370,2170.092,2198.073,2120.921,1934.94
E06000005,Darlington,1261,1298,1317,1313,1280,1351,1291,1226,1192,1199,1128,1139.959,1094.426,1073.243,1030.554
E06000006,Halton,1602,1688,1589,1691,1599,1618,1625,1522,1538,1511,1479,1425.027,1341.9,1338.198,1288.002
E06000007,Warrington,2456,2478,2563,2512,2613,2577,2469,2493,2425,2386,2195,2226.61,2150.465,2143.365,1988.835
E06000008,Blackburn with Darwen,2249,2273,2282,2213,2215,2332,2220,2101,2185,2222,2099,1993.229,2059.308,1986.95,1953.759
E06000009,Blackpool,1585,1648,1648,1625,1539,1723,1656,1589,1641,1539,1552,1435.103,1460.375,1370.843,1287.607
E06000010,"Kingston upon Hull, City of",3215,3428,3448,3472,3523,3713,3621,3457,3352,3397,3327,3093.775,3140.474,3132.624,2906.015
E06000011,East Riding of Yorkshire,3401,3477,3331,3396,3386,3508,3252,3216,3222,3246,3247,3126.167,2982.991,3006.584,2884.204
E06000012,North East Lincolnshire,1946,1979,1995,2075,2000,2049,1922,1916,1921,1836,1805,1723.674,1647.38,1640.249,1514.605
E06000013,North Lincolnshire,2043,2089,2099,2062,1991,1993,1954,1848,1820,1841,1826,1748.515,1651.86,1649.893,1628.035
E06000014,York,2138,2116,2114,2084,2112,2049,2000,1964,1905,1931,1783,1739.549,1681.83,1664.559,1630.997
E06000015,Derby,3449,3599,3494,3615,3463,3610,3545,3412,3370,3225,3106,2998.637,3122.021,2903.906,2904.626
E06000016,Leicester,4619,4855,4944,4792,5087,5322,5154,5003,4987,4863,4641,4520.549,4396.653,4385.97,4066.725
E06000017,Rutland,415,359,374,359,370,365,399,369,378,365,390,365.502,334.851,312.483,313.063
E06000018,Nottingham,3791,3865,3890,3948,4036,4062,4054,3917,3869,4016,3750,3532.468,3487.199,3371.922,3074.314
E06000019,"Herefordshire, County of",1870,1967,1948,1933,2024,1911,1947,1842,1778,1798,1776,1783.26,1717.548,1621.651,1574.399
E06000020,Telford and Wrekin,2246,2211,2255,2336,2363,2329,2289,2343,2180,2206,2216,2176.612,2125.725,2124.481,2043.726
E06000021,Stoke-on-Trent,3192,3583,3310,3326,3515,3545,3551,3556,3301,3334,3141,3034.767,3137.191,3068.128,2917.544
E06000022,Bath and North East Somerset,1961,1863,1888,1850,1993,1993,1965,1905,1870,1963,1878,1899.221,1823.332,1838.215,1860.786
E06000023,"Bristol, City of",5367,5670,5641,5844,5813,6003,5783,5579,5461,5432,5164,4971.186,4945.922,4704.968,4634.721
E06000024,North Somerset,2316,2394,2426,2460,2559,2531,2414,2342,2337,2400,2267,2161.022,2219.508,2125.52,2091.073
E06000025,South Gloucestershire,3110,3401,3268,3323,3358,3325,3346,3322,3305,3353,3272,3347.621,3346.442,3177.599,3167.903
E06000026,Plymouth,2931,3035,2931,3035,3158,3210,3089,2966,2967,2987,2691,2694.753,2668.391,2522.578,2415.244
E06000027,Torbay,1362,1368,1301,1437,1418,1498,1482,1466,1411,1406,1257,1249.327,1292.281,1152.48,1131.959
E06000030,Swindon,2722,2915,2804,2929,3021,3176,3075,2970,2951,2881,2908,2829.365,2756.928,2647.049,2632.127
E06000031,Peterborough,2648,2833,2905,3013,3033,3256,3225,3192,3114,3077,2930,2980.778,2832.344,2812.026,2723.575
E06000032,Luton,3132,3410,3290,3298,3510,3530,3410,3442,3345,3395,3350,3073.595,3163.424,3122.065,3023.706
E06000033,Southend-on-Sea,2197,2220,2278,2287,2227,2269,2139,2251,2149,2231,2126,2094.076,1989.251,1959.016,1845.518
E06000034,Thurrock,2340,2504,2390,2394,2513,2542,2491,2475,2585,2624,2518,2534.23,2383.844,2398.216,2260.494
E06000035,Medway,3353,3449,3539,3608,3636,3780,3559,3624,3597,3690,3651,3499.667,3515.008,3427.015,3245.175
E06000036,Bracknell Forest,1580,1608,1677,1681,1652,1629,1534,1517,1502,1491,1418,1482.412,1408.84,1474.792,1404.299
E06000037,West Berkshire,1951,2148,1973,2041,2115,2032,1915,1873,1808,1838,1768,1756.732,1668.801,1637.497,1578.09
E06000038,Reading,2125,2351,2316,2337,2321,2271,2363,2238,2103,2271,2114,1957.257,1946.838,1903.975,1831.51
E06000039,Slough,2500,2476,2513,2609,2676,2639,2591,2579,2462,2590,2510,2324.625,2332.702,2298.272,2092.282
E06000040,Windsor and Maidenhead,1842,1853,1893,1960,1867,1980,1814,1764,1776,1755,1688,1684.236,1666.166,1562.227,1564.186
E06000041,Wokingham,2046,2100,2141,2205,2202,2279,2228,2114,2112,2259,2192,2142.36,2147.378,2074.472,2014.157
E06000042,Milton Keynes,3848,4033,4006,4155,4219,4254,4044,3868,3883,3956,3717,3721.809,3649.454,3489.139,3491.834
E06000043,Brighton and Hove,2902,3008,2920,2919,2842,2905,2727,2527,2632,2551,2424,2395.212,2242.916,2220.171,2043.333
